time,global_track_id,x,y,vx,vy,prob
397.88,GT-0196,-57912.33366144668,-406363.4991529972,-381.4425541570256,68.29866911991887,0.89
425.6,GT-0178,340389.37299907923,27061.84025212583,-172.67124565111322,-64.19647396743828,0.973
425.6,GT-0182,-50520.486492324526,27011.828770640142,171.90442464337852,-63.52073007255189,0.942
452.66,GT-0178,335652.181736847,25264.178105787265,-173.66035222153275,-64.23116069369244,0.936
452.66,GT-0216,-45811.519740897376,25431.118942213187,177.52270238306164,-63.50925657454187,0.973
480.95,GT-0221,330628.5333848817,23657.666274650404,-180.21593773381073,-63.89854212111909,0.969
480.95,GT-0224,-35450.96357481036,-401100.8916379736,726.0677160532392,62.18277229934683,0.851
507.7,GT-0216,-35812.157227374424,21882.365254328015,182.74415993331894,-66.28936583992117,0.928
507.7,GT-0221,325699.4176047031,21873.664676977107,-184.36298253066465,-65.77391433802718,0.888
537.45,GT-0216,-30249.06773904148,19872.341190498097,184.8848167180537,-67.54759879896304,0.929
537.45,GT-0221,320179.20579404,19882.86731865378,-186.9987511100293,-66.75740734712141,0.975
563.59,GT-0256,315160.39956167847,18004.06334238524,-187.88303681264296,-69.8431918889939,0.929
590.69,GT-0216,-20069.95757507826,16090.286362980602,197.5001092662158,-73.71652050700574,0.854
590.69,GT-0256,310062.04168770026,16133.684871252695,-197.7851019470531,-71.44050673765219,0.957
616.55,GT-0284,-14649.122382450802,13821.394394079787,189.36971746274838,-102.71899741532116,0.955
616.55,GT-0285,304666.6973443111,13930.17164406915,-188.9868094033676,-103.13574362488505,0.973
644.52,GT-0293,-10058.164948169298,10092.66535831658,166.3687221137788,-135.7003724861574,0.951
644.52,GT-0294,299968.7867058517,10062.602456529698,-164.81836910478643,-139.69144846482698,0.921
671.61,GT-0293,-5602.2133736658625,6310.549296233536,163.7070405491097,-138.44594898301855,0.878
699.06,GT-0318,-1207.2888519822884,2144.6339084557135,141.70177714298245,-156.22337575398873,0.908
728.42,GT-0331,287918.63630139484,-3325.5732834710925,-111.11890557262993,-186.12437037973442,0.937
728.42,GT-0333,2013.3788556026907,-3399.607256293484,110.88055420638493,-184.79680897291038,0.977
754.48,GT-0331,284969.18875143066,-8268.6675900169,-112.58828106338572,-185.69309416079346,0.943
754.48,GT-0333,4911.680410430152,-8283.465179020995,110.251390541545,-185.89556802768553,0.922
780.6,GT-0360,281816.82942565205,-13300.226761955999,-116.23131121314779,-190.85822809751338,0.958
780.6,GT-0361,8086.381602927515,-13303.223378805525,114.22380221212872,-189.47669103746884,0.875
807.33,GT-0360,278745.7297577345,-18434.623271412052,-120.00822532817418,-194.43212056813672,0.972
832.96,GT-0361,14116.432972472023,-23231.694601644504,119.1982518045243,-195.50118226900625,0.974
859.64,GT-0385,17642.451224617314,-28764.582298885405,117.67757008753958,-195.6133166820527,0.975
885.03,GT-0388,269191.4771001482,-33866.69869305509,-123.1781660231555,-198.21762798009402,0.877
912.71,GT-0388,265884.9924192242,-39336.0708539954,-122.8663013914728,-197.6809023891061,0.955
912.71,GT-0415,16681.013870579514,-337847.2371470796,-394.37738473097556,199.6101976203011,0.853
935.44,GT-0413,26983.56970134393,-44226.89751853341,122.93248285194711,-199.37095871587854,0.962
935.44,GT-0417,262879.4821066874,-44201.90494129645,-118.42934765386399,-198.63186669547733,0.922
962.53,GT-0413,30269.325803981523,-49773.671399749386,122.58597410588871,-200.296473777292,0.911
962.53,GT-0417,259564.3885815469,-49683.41991628066,-122.86131327784062,-198.74973782401705,0.963
989.43,GT-0413,33561.29602149065,-55174.74920017788,119.4157231461114,-200.9690333956521,0.953
989.43,GT-0417,256267.60265417348,-55066.610348160706,-120.27729169645637,-199.9227789750622,0.871
1015.28,GT-0413,36616.601407820934,-60252.66080192373,122.18617649359281,-199.30999938404105,0.906
1044.15,GT-0453,249460.16585885303,-66483.37192839068,-122.19192022063335,-201.64715172174667,0.905
1044.15,GT-0457,40338.30824392924,-66508.64570152147,121.01768870329728,-201.04355760680727,0.871
1044.15,GT-0465,28345.931632140506,-310781.67896329047,-277.95822988212007,204.12884924739373,0.874
1070.42,GT-0453,246203.15427208462,-71771.6183210991,-120.30957103054737,-199.81507235036693,0.943
1070.42,GT-0457,43507.17844563151,-71838.9013724165,123.23072489266653,-199.87347275619902,0.926
1096.34,GT-0453,243094.83272376412,-76925.72073241913,-123.06223634430461,-204.40398128201608,0.947
1124.76,GT-0489,239625.65493045188,-83009.92464851186,-122.25164108569079,-198.837923891839,0.934
1124.76,GT-0493,50350.78154873823,-83240.01590330074,124.48409837027752,-200.42703395296647,0.895
1151.36,GT-0489,236365.40589112532,-88365.38600115979,-121.89085194568518,-202.48265207131936,0.873
1178.82,GT-0489,232898.1169547321,-94068.14054274578,-122.29602276462147,-201.83398549536494,0.912
1178.82,GT-0509,43320.561580340574,-283500.9247617258,-147.49539158186616,201.03471846085054,0.858
1204.32,GT-0489,229755.41809111676,-99285.58865582496,-121.95002861506983,-203.44619042853085,0.932
1231.78,GT-0489,226399.60618362654,-104944.70663108584,-121.73488503479959,-202.48487990167615,0.875
