time,global_track_id,x,y,vx,vy,prob
1104.33,GT-0617,47824.63646218921,-78762.94229428309,124.38080524013095,-202.22218908847438,0.913
1134.36,GT-0583,238201.4967328442,-85417.7822479044,-122.76802802498692,-205.03698181662745,0.876
1134.36,GT-0617,51432.24452643912,-84985.85276015745,111.84006604842976,-206.5132577189545,0.852
1167.0,GT-0617,55132.759923228936,-91532.16859414238,117.46767485226972,-200.83804730543596,0.866
1167.0,GT-0691,234326.24170959948,-91625.16186767294,-121.02223651587025,-197.77973751037356,0.888
1193.62,GT-0678,231073.41684910146,-97152.73906097746,-119.74059377843973,-198.09392927648958,0.891
1193.62,GT-0691,231077.19169677136,-97129.62104360748,-124.60359202057677,-205.4629682643918,0.852
1221.77,GT-0708,62358.658953444094,-102881.92039784812,123.64336127140861,-200.29036333679727,0.974
1247.68,GT-0708,65421.3024769475,-108228.94070573777,121.09975582552849,-202.72790340572354,0.885
1247.68,GT-0710,224585.4586612022,-107948.65420845637,-124.79598446419534,-209.6904442992967,0.917
1247.68,GT-0733,64955.29389795747,-269400.36883576686,339.62140166666524,203.94737847187923,0.866
1276.14,GT-0684,68956.67379651025,-114038.79015206883,123.50139118745835,-206.58499260026304,0.867
1276.14,GT-0741,220878.80778261783,-114200.76980577515,-123.74253928697362,-210.67416987908157,0.859
1303.02,GT-0684,72260.31895511804,-119467.17436695314,122.90192121373448,-199.7116381973325,0.959
1329.63,GT-0678,214696.27008144202,-124747.7612743685,-117.4352487601155,-198.3547205802612,0.93
1329.63,GT-0749,75292.10315951804,-124916.12350373472,114.2874941432768,-201.42544957117977,0.955
1356.76,GT-0678,211535.79752194384,-130116.25175017852,-115.8705354657014,-195.05418905190908,0.918
1356.76,GT-0684,78462.10802893389,-130219.7778572271,117.37547250649166,-198.26555145399152,0.886
1385.18,GT-0678,208225.82186947617,-135781.02012862943,-119.10473996582861,-202.07405428923738,0.953
1385.18,GT-0684,81867.10635739836,-135840.68990476785,120.45319260164163,-194.755390723548,0.895
1414.35,GT-0805,84941.50718424645,-141591.86142863194,113.34582742493076,-197.8342246572253,0.878
1442.19,GT-0805,88141.53483075928,-147055.59713221472,117.81674251552357,-195.4942295673825,0.958
1442.19,GT-0832,201787.66836001002,-146890.22411203675,-114.23127046876675,-194.518314585688,0.924
1469.63,GT-0868,91343.93048959193,-152278.19013258192,116.27353524509012,-195.13518392139667,0.897
1469.63,GT-0874,90936.87950419832,-152503.19835957373,112.06092130594237,-197.03465147692788,0.876
1498.92,GT-0883,195381.8522518176,-157861.05450863348,-112.18917941500733,-193.92733465023565,0.97
1524.27,GT-0897,192400.94098689756,-163084.1511048044,-110.9613186518402,-192.30516855798805,0.942
1585.46,GT-0939,104362.56875429301,-175353.16407336332,109.77711105010025,-198.5501592226153,0.926
1585.46,GT-0943,100510.0678355055,-202348.75919823992,-260.90446552320464,202.265117406754,0.902
1643.64,GT-0939,111180.2245167854,-186774.2147262588,116.34638047114305,-194.62363506817283,0.868
1667.16,GT-0991,175829.14643506237,-191651.62701207562,-112.13809001261531,-194.90117084776563,0.924
1693.99,GT-0949,116918.90588375322,-196703.42738125668,114.33533651947148,-197.68141757589908,0.902
1693.99,GT-0968,172938.8564548228,-196754.20794798588,-115.23966474811985,-195.91910053360752,0.863
1723.17,GT-1028,168954.56142518832,-202136.80427848085,-144.52548917965234,-166.47384850373433,0.896
1775.12,GT-1043,129494.26707239666,-210003.03544979318,168.15083567084162,-153.01725281042832,0.896
1775.12,GT-1065,160436.34444952934,-209895.69671885774,-171.80881006963006,-157.24345715885121,0.858
1832.49,GT-1096,151020.84896446267,-218075.98277301737,-171.33928875782232,-155.7603242413114,0.893
1832.49,GT-1104,150649.7371707531,-218244.18317459873,-174.4058835475932,-156.7299553400878,0.889
1862.0,GT-1097,144010.16242401954,-222646.19001404068,170.9377176742823,-147.72487756597437,0.912
1891.18,GT-1104,141028.78883647587,-226937.27266873632,-160.069105232319,-142.83941015734445,0.915
1920.83,GT-1104,136004.0015866565,-231285.22184484726,-171.4021385787957,-150.02443105061195,0.928
1948.91,GT-1104,131301.85884397873,-235429.0492176445,-169.5618705240612,-149.29704228742736,0.938
1979.67,GT-1155,163572.2048346987,-239883.692873959,167.63389405114393,-147.44783480117667,0.893
2010.31,GT-1166,121213.08406397956,-244429.6118081707,-170.13509991713082,-149.37107087751488,0.886
2010.31,GT-1214,154085.69257862362,-133196.97625851558,123.75990247246791,139.4756257660055,0.901
2035.21,GT-1155,172513.91343749806,-248112.60759461956,160.976822354699,-148.83573951034242,0.932
2035.21,GT-1210,117681.69772768236,-247758.9296602997,-163.28910723826365,-145.92824952248924,0.92
2061.49,GT-1210,113208.01863911012,-251681.4239534211,-171.18140002945935,-151.15406429097428,0.858
2117.42,GT-1210,103726.42485628377,-259924.89706691416,-170.63786508986234,-146.78682167815472,0.888
2148.83,GT-1287,99030.63760162951,-264601.47509356803,-158.0364121346107,-142.22815962897894,0.873
2148.83,GT-1308,188554.38269037174,-113104.92068416676,-128.6651522484476,148.70824440536887,0.952
2176.69,GT-1267,195443.11391058916,-268644.3598120539,165.3052941156125,-143.71494495908743,0.867
2205.35,GT-1332,89547.25417737653,-273047.77348563063,-158.20626390627632,-141.12419320084544,0.917
2233.55,GT-1267,204311.9806081906,-277091.76697501744,147.01151190578662,-153.579670991528,0.911
2263.36,GT-1384,209548.94930860854,-281390.89622352796,164.65401412830695,-142.1759652934172,0.904
2293.92,GT-1332,75598.2703461086,-285847.41206559533,-158.19935888808288,-145.27730687368324,0.926
2327.74,GT-1424,70060.33826064462,-290995.2888088798,-154.46113753743816,-144.15198173456992,0.896
2400.64,GT-1443,231504.69918387666,-301776.8898324813,150.18160728948155,-150.64283683080703,0.959
2400.64,GT-1464,58403.1176986161,-301837.4832367061,-159.7417705240294,-144.86339901548325,0.86
2435.08,GT-1495,237289.53255161416,-306655.59823179,154.1207960492477,-150.52391055895475,0.947
2435.08,GT-1503,247183.2754322708,-70880.43775936538,-13.124445179264402,148.73450552045458,0.91
2469.52,GT-1495,242852.10228788963,-311702.0341056488,152.62845814551696,-147.74945044376938,0.873
2469.52,GT-1522,242965.43658537077,-311981.51428512693,162.62537017320483,-140.5268073597194,0.906
2536.17,GT-1526,36501.53687467809,-321870.87675430195,-158.53795781897296,-145.12239627971113,0.916
2536.17,GT-1550,36709.746219149245,-321980.4033316133,-160.98781926782056,-145.28928216798187,0.891
2608.47,GT-1583,25598.673533578916,-332759.08678675734,-162.0767336821282,-147.50539099186628,0.909
2608.47,GT-1598,279087.6619476078,-44531.66713016878,363.4101623878201,145.82393679592693,0.901
2638.17,GT-1595,20305.23721123072,-337257.4386546113,-162.4658116359843,-149.32877202415918,0.922
2677.04,GT-1633,275872.6143613558,-343079.61153968534,157.62060069962132,-149.59667014496426,0.928
2677.04,GT-1641,13735.45168548012,-343147.75951021735,-160.82089340825326,-151.7643065323737,0.926
2708.92,GT-1595,8997.122014941733,-347922.90294250444,-156.0426843050795,-151.6219612832818,0.956
2744.81,GT-1687,3210.537130698196,-353369.1819911089,-162.2864632012085,-149.74383268951016,0.971
2777.33,GT-1687,-1928.5052106664489,-358243.9764637079,-158.318207215772,-149.53321334244794,0.936
2777.33,GT-1694,291702.5660267793,-358234.87654804013,157.69959021815012,-150.22324765417375,0.955
2811.49,GT-1694,297110.81161197164,-363315.9010523095,158.4115226709767,-149.78642654011514,0.918
2886.55,GT-1745,308791.6165817038,-374809.3005241682,156.87344413500023,-148.08534011343818,0.93
2886.55,GT-1746,-18943.71570960662,-374683.35272823897,-161.8343262815886,-146.3757230484978,0.905
2923.16,GT-1772,-24272.758671405718,-380125.2797757622,-158.84524817083684,-147.12774441807392,0.987
2966.99,GT-1719,-31366.98536462338,-386601.28331733705,-148.99193956019974,-146.64316190575465,0.958
2966.99,GT-1772,-31239.150291026737,-386561.08461146895,-161.72342938718057,-143.53973550233565,0.874
3073.19,GT-1841,-48278.43559096731,-401510.6884768335,-160.6411737543201,-143.15149479115144,0.928
3073.19,GT-1845,337971.0595892892,-401566.1655371679,163.8158965116168,-141.281893456689,0.861
3232.32,GT-1841,-73707.78839205854,-424170.0490102888,-142.2427092021825,-145.83210614809332,0.927
3343.1,GT-1998,-91431.40381724531,-440153.066503653,-169.54415176786588,-155.83556191792445,0.938
3416.11,GT-2023,-102912.73905131767,-450826.63586031884,-181.55815409061225,-150.3899782148371,0.896
3482.59,GT-2039,-113666.51763833067,-460470.8642614515,-160.33288250466885,-146.99300213900207,0.899
3482.59,GT-2050,399229.5174533806,82222.74134515702,147.74569671860712,147.8274069874328,0.902
3544.73,GT-2065,401520.3679094612,91872.50706326889,43.49112831460369,150.66363348965317,0.852
3544.73,GT-2068,401614.3840249945,91362.28575221408,48.20641635822626,127.72811904975303,0.86
3596.01,GT-2061,-131610.77614489562,-476823.4335935289,-154.60288078203402,-145.29798329426842,0.908
4230.93,GT-2282,55108.98957936177,53306.342498890815,0.9772337790760817,0.52561691646711,0.91
5531.25,GT-2334,389182.87364377634,-173907.75315747276,0.12590498416335977,-0.04815050967344469,0.873
