time,callsign,x,vx,y,vy,z,vz
74.0,TARGET_001,16311.798781445332,218.99731223035445,5910.602194606566,79.27490041673592,8195.868168761748,2.859428576600665
75.0,TARGET_001,16530.805767734182,218.925000071395,5989.6851406726355,79.00323437960806,8198.758250040666,2.8237314914472664
76.0,TARGET_001,16749.727352226524,219.0168414558369,6068.646311297635,78.8920567239547,8201.575812177582,2.860872529642907
77.0,TARGET_001,16968.751778972684,219.0294094119279,6147.589350747224,79.00397124745734,8204.52898148372,3.0300269418367805
78.0,TARGET_001,17187.847761274144,219.16329155493105,6226.707914841966,78.99012616093502,8207.5034977649,2.925486444527887
79.0,TARGET_001,17407.004077698195,219.05685699331033,6305.776361224833,79.09204053097235,8210.488639598681,3.1109378587828735
80.0,TARGET_001,17626.258020004705,219.22527829313992,6384.9695574104935,79.24773188650846,8213.615159267194,3.153401450326467
81.0,TARGET_001,17845.62033943192,219.56803273692472,6464.101052352838,79.11544699179423,8216.856319153294,3.360758804070821
82.0,TARGET_001,18065.240984616423,219.84534700302925,6543.284617833661,79.23836124415844,8220.253743302112,3.318226016654155
83.0,TARGET_001,18284.931514813856,219.86555245766593,6622.462402252383,79.3130905581915,8223.594063278126,3.349653313584035
84.0,TARGET_001,18504.856078343855,219.8458402953621,6701.835229632116,79.45403225798366,8226.814202121901,3.1172877399576064
85.0,TARGET_001,18724.790574034654,219.8405483029376,6781.168859904579,79.18568583944761,8229.949425856852,3.029988436745177
86.0,TARGET_001,18944.462142024142,219.6231881503184,6860.322071434512,79.24994712883978,8232.82953352742,2.8358619190642944
87.0,TARGET_001,19164.23991424899,219.90216655185966,6939.448419637049,79.00165244579621,8235.618672971059,2.7134781705300863
88.0,TARGET_001,19384.194711199354,219.92929966534535,7018.208938360331,78.6361442130385,8238.290503863522,2.665259964091768
89.0,TARGET_001,19604.058310979017,219.8863291614437,7097.1972841370425,79.32662610552148,8240.985218014208,2.748583426028473
90.0,TARGET_001,19823.975635027313,219.71153864388188,7176.582680302262,79.19841368893476,8243.767353202165,2.778635410966963
91.0,TARGET_001,20043.558783686232,219.42768874290076,7255.58043668511,78.87440529761516,8246.435673438822,2.6127360834896463
92.0,TARGET_001,20262.992442942097,219.3238881900457,7334.201159634279,78.64662089417389,8249.164798904783,2.863960684411237
93.0,TARGET_001,20482.181466186645,219.05298094873035,7412.799982819706,78.48921183661402,8252.080671553209,2.9546817519349666
