time,global_track_id,x,y,vx,vy,pos_sigma_m,vel_sigma_mps,sigma_x_m,sigma_vx_mps,sigma_y_m,sigma_vy_mps,fused_tq,prob,n_sources
97.22,GT-0001,375719.38210668956,31578.172820234668,79.52494453980816,58.26204570798979,61.7543317778316,3.0441913904121396,61.7543317778316,3.0441913904121396,61.7543317778316,3.0441913904121396,12,0.909,14
97.22,GT-0010,-85860.98336974454,31681.90692845387,-79.40107948956465,59.724685830915206,30.258419582544015,2.5312313032424565,30.258419582544015,2.5312313032424565,30.258419582544015,2.5312313032424565,15,0.948,6
97.55,GT-0001,375745.6253383877,31597.399295318304,79.52494453980816,58.26204570798979,61.91122713802948,3.163795382362676,61.91122713802948,3.163795382362676,61.91122713802948,3.163795382362676,12,0.882,14
97.55,GT-0010,-85897.63475530312,31695.68889396672,-79.05400276924932,57.239463677931255,29.0445411130196,1.3268359831643184,29.0445411130196,1.3268359831643184,29.0445411130196,1.3268359831643184,15,0.986,6
99.37,GT-0001,375890.36073745013,31703.436218506846,79.52494453980816,58.26204570798979,63.11535794986066,3.755609300960286,63.11535794986066,3.755609300960286,63.11535794986066,3.755609300960286,12,0.855,14
99.37,GT-0010,-86041.51304034315,31799.864717860553,-79.05400276924932,57.239463677931255,29.472472094575004,2.419812746106533,29.472472094575004,2.419812746106533,29.472472094575004,2.419812746106533,15,0.956,6
100.16,GT-0010,-86115.2656206356,31858.337664948573,-80.05651451947939,60.53208015837578,28.56487228905524,1.3374056906924163,28.56487228905524,1.3374056906924163,28.56487228905524,1.3374056906924163,15,0.987,6
100.42,GT-0001,375969.0184857164,31769.954405669276,79.76781546292713,60.7765805369995,62.373341584611715,3.063068383786721,62.373341584611715,3.063068383786721,62.373341584611715,3.063068383786721,12,0.94,14
100.42,GT-0010,-86136.08031441068,31874.07600578975,-80.05651451947939,60.53208015837578,28.60006003595138,1.5406667327804773,28.60006003595138,1.5406667327804773,28.60006003595138,1.5406667327804773,15,0.957,6
100.85,GT-0001,376022.6292703356,31800.264794066305,81.47579922031159,61.46094517506668,60.526797047898405,1.3807367669076498,60.526797047898405,1.3807367669076498,60.526797047898405,1.3807367669076498,12,0.984,15
100.85,GT-0010,-86170.50461565405,31900.10480025785,-80.05651451947939,60.53208015837578,28.671104731683393,1.8278823762749217,28.671104731683393,1.8278823762749217,28.671104731683393,1.8278823762749217,15,0.929,6
101.75,GT-0001,376095.9574896339,31855.579644723864,81.47579922031159,61.46094517506668,60.65710331878434,1.9827844107442953,60.65710331878434,1.9827844107442953,60.65710331878434,1.9827844107442953,12,0.955,15
101.75,GT-0010,-86242.55547872158,31954.58367240039,-80.05651451947939,60.53208015837578,28.895841733457296,2.3164960568704767,28.895841733457296,2.3164960568704767,28.895841733457296,2.3164960568704767,15,0.901,6
102.58,GT-0001,376163.5824029867,31906.592229219168,81.47579922031159,61.46094517506668,60.82283104164861,2.4080975934315036,60.82283104164861,2.4080975934315036,60.82283104164861,2.4080975934315036,12,0.926,15
102.58,GT-0010,-86313.83946974734,32007.317881548406,-80.48623750734824,64.38917304210288,28.358121812402377,1.6157303144001605,28.358121812402377,1.6157303144001605,28.358121812402377,1.6157303144001605,15,0.973,6
103.33,GT-0001,376228.6319993486,31955.735985718165,83.75227994004011,62.65216729372649,59.87588572987537,1.6259471404142685,59.87588572987537,1.6259471404142685,59.87588572987537,1.6259471404142685,13,0.979,15
103.33,GT-0010,-86374.20414787786,32055.609761329983,-80.48623750734824,64.38917304210288,28.522579297250083,2.0731822034909624,28.522579297250083,2.0731822034909624,28.522579297250083,2.0731822034909624,15,0.944,6
103.98,GT-0001,376283.07098130963,31996.459894459087,83.75227994004011,62.65216729372649,59.95856884753907,2.026377088160382,59.95856884753907,2.026377088160382,59.95856884753907,2.026377088160382,13,0.949,15
103.98,GT-0010,-86426.52020225763,32097.462723807348,-80.48623750734824,64.38917304210288,28.73130231504443,2.4001217570930966,28.73130231504443,2.4001217570930966,28.73130231504443,2.4001217570930966,15,0.916,6
