time,global_track_id,x,y,vx,vy,pos_sigma_m,vel_sigma_mps,sigma_x_m,sigma_vx_mps,sigma_y_m,sigma_vy_mps,fused_tq,prob,n_sources
1151.12,GT-0022,53608.04148785261,-88349.60373674086,121.45294171228579,-201.93304207520683,104.2066770823925,2.068764709743748,104.2066770823925,2.068764709743748,104.2066770823925,2.068764709743748,11,0.987,29
1152.02,GT-0022,53680.89417191548,-88569.04854844365,121.66119377065506,-202.60076207483016,98.75438502512537,0.661497756708801,98.75438502512537,0.661497756708801,98.75438502512537,0.661497756708801,11,0.996,29
1154.87,GT-0022,54027.6362145911,-89146.47832251605,121.66272151118653,-202.59709190544476,98.87455881083329,2.6147266991397173,98.87455881083329,2.6147266991397173,98.87455881083329,2.6147266991397173,11,0.994,29
1155.26,GT-0022,54074.978920604975,-89225.60084458564,121.65763851926323,-202.60212440369656,98.92544543527946,2.7648456107979804,98.92544543527946,2.7648456107979804,98.92544543527946,2.7648456107979804,11,0.996,29
1156.47,GT-0022,54221.92659370483,-89468.75930185444,121.70839166650745,-202.57011259837503,99.14966712559,3.077516496921992,99.14966712559,3.077516496921992,99.14966712559,3.077516496921992,11,0.995,29
1158.23,GT-0022,54430.6365803087,-89826.71320308962,121.48873008870345,-202.76001911643908,99.2640100208573,1.6351906324772323,99.2640100208573,1.6351906324772323,99.2640100208573,1.6351906324772323,11,0.997,29
1160.35,GT-0022,54688.2369488403,-90256.64297937271,121.4871988567115,-202.75722066944058,99.5256930170896,2.7220896994782597,99.5256930170896,2.7220896994782597,99.5256930170896,2.7220896994782597,11,0.995,29
1161.24,GT-0022,54796.39029493147,-90437.17777621558,121.48883190756816,-202.7530850923869,99.74192512347761,3.0659295693242625,99.74192512347761,3.0659295693242625,99.74192512347761,3.0659295693242625,11,0.993,29
1161.87,GT-0022,54872.89884141806,-90564.89804622567,121.49076937480115,-202.7509943507431,99.96796678581602,3.2901704603398887,99.96796678581602,3.2901704603398887,99.96796678581602,3.2901704603398887,11,0.987,29
1162.17,GT-0022,54911.25751736034,-90626.63395528511,122.34055690306971,-202.89863325770833,99.77144986695086,1.7587458775949534,99.77144986695086,1.7587458775949534,99.77144986695086,1.7587458775949534,11,0.997,29
1164.77,GT-0022,55231.06891805166,-91163.53465340649,121.7028617304951,-203.0361561334364,100.04950967303813,1.925598544314036,100.04950967303813,1.925598544314036,100.04950967303813,1.925598544314036,11,0.997,29
1167.08,GT-0022,55512.190034344596,-91632.62149606949,121.69661280753263,-203.04001161092063,100.42140867334257,2.979981768607175,100.42140867334257,2.979981768607175,100.42140867334257,2.979981768607175,11,0.994,29
1167.56,GT-0022,55570.72721747647,-91730.14634455969,121.71275348732091,-203.04445061522992,100.54655029369145,3.137058951457621,100.54655029369145,3.137058951457621,100.54655029369145,3.137058951457621,11,0.996,29
1169.93,GT-0022,55862.59780352936,-92218.96550068728,122.12077483812749,-202.97364089088876,101.28228611566986,2.8389425511954136,101.28228611566986,2.8389425511954136,101.28228611566986,2.8389425511954136,11,0.996,29
1172.62,GT-0022,56192.728973222314,-92770.1100373318,122.50059944590977,-202.9279527356452,102.11325321529002,2.6913597628624917,102.11325321529002,2.6913597628624917,102.11325321529002,2.6913597628624917,11,0.996,29
1173.0,GT-0022,56239.238236069024,-92847.11310319536,122.50097682177258,-202.92736049996688,102.27182480147322,2.8466716018638283,102.27182480147322,2.8466716018638283,102.27182480147322,2.8466716018638283,11,0.99,29
1173.51,GT-0022,56301.821763129745,-92950.71068655927,122.5040382544977,-202.931523110483,102.45230753904796,3.0370227717516105,102.45230753904796,3.0370227717516105,102.45230753904796,3.0370227717516105,11,0.993,29
