time,global_track_id,x,y,vx,vy,prob
1588.73,GT-2205,105105.04663588057,-175732.4138044375,117.84810310192285,-191.86966536827026,0.889
1588.73,GT-2359,104889.39399945948,-175874.8934780446,114.37259545311304,-197.33113972425164,0.941
1611.72,GT-2359,107563.01856279503,-180436.9702692838,113.38640796527828,-196.49321092232657,0.942
1681.41,GT-2359,115541.72981468037,-194193.56166657453,114.1107258314349,-198.17581271134674,0.974
1705.2,GT-2359,118332.00267359958,-198858.52400822888,116.03550689263531,-196.3915375728041,0.946
1723.63,GT-2593,120612.68754035611,-202336.7128040823,147.4597281582875,-172.75804723458697,0.923
1746.6,GT-2635,124487.04293962415,-205781.22872207107,166.54609964237508,-154.93743813322303,0.93
1766.18,GT-2635,127840.26476784867,-208843.1170932934,165.96748773130963,-151.57742745713006,0.923
1787.25,GT-2730,131509.75031209353,-211724.00657297645,167.9551472930177,-152.32201458636567,0.878
1812.08,GT-2730,135686.29740425127,-215460.4268718549,166.84364743737535,-150.9176376092467,0.933
1833.2,GT-2730,139195.96607987853,-218743.60507508047,167.60408957025737,-152.5427540844905,0.918
1855.26,GT-2847,142800.118264244,-221522.99129018025,167.80087846344193,-151.22742692887087,0.904
1877.1,GT-2847,146582.71912629288,-224924.09244208212,169.3385422310521,-151.64654599408252,0.967
1899.85,GT-2847,150482.40191375866,-228340.63237074018,167.13963538725204,-150.10530287321626,0.879
1924.3,GT-2943,154425.013738449,-231767.70958130545,167.9428544097884,-148.20864011832532,0.889
1945.52,GT-2943,157924.75729213908,-234923.16443580002,165.38903647016255,-147.61470549247372,0.938
1972.72,GT-2943,162447.33425755642,-238925.07938582727,166.23678840274738,-147.58107473067895,0.886
2013.16,GT-3019,169013.36009232633,-244772.6384867641,163.61265172685728,-145.40331047102242,0.891
2037.44,GT-3019,173002.90526821767,-248316.80901282438,164.00515226089126,-145.3934282178237,0.99
2063.6,GT-3019,177382.54862189837,-252155.72672462644,164.2666064100558,-146.64165741139394,0.913
2111.79,GT-3205,184933.2966497985,-259163.1996088305,162.1253737180868,-147.28669698556308,0.958
2134.46,GT-3205,188619.445071979,-262464.86269316735,162.43552164299982,-146.68608606496332,0.983
2153.45,GT-3205,191680.86614912155,-265255.1297151962,161.02394256088502,-145.55003899181796,0.928
2175.39,GT-3205,195222.9545215715,-268441.48179522547,159.25126835530057,-142.99891991445486,0.882
2198.56,GT-3205,198957.77786320032,-271741.4863340545,161.98438898987433,-144.17109652979912,0.958
2224.28,GT-3393,203206.3841666218,-275706.1164558481,159.5342492649442,-142.69163044854395,0.925
2244.68,GT-3393,206541.11135872532,-278624.96942633897,162.48167408268844,-144.64873630887007,0.934
2271.14,GT-3393,210763.70030652802,-282518.2877589982,158.35428452102983,-144.06802234238884,0.957
2294.65,GT-3393,214505.0780713323,-285962.5055399103,158.32693789778085,-143.61658675113048,0.893
2319.72,GT-3393,218498.16023918928,-289558.2735505776,158.13460761536905,-144.65092728011868,0.919
2319.72,GT-3528,218524.7558332898,-289747.0630643675,156.22985138230172,-144.414231228435,0.892
2345.11,GT-3528,222610.1070782218,-293439.83792283083,160.090946046573,-144.74709296134742,0.928
2373.84,GT-3593,227246.7764234386,-297863.6484650337,158.42986535688846,-145.0745877680614,0.995
2398.87,GT-3593,231259.08939495706,-301496.0795536638,158.74185914632457,-145.4988182969413,0.977
2414.16,GT-3593,233676.64653680866,-303692.6418784298,157.558807694293,-143.70515287777033,0.966
2432.94,GT-3699,236788.1080017405,-306606.1758270223,157.955326615729,-144.88291108380645,0.886
2504.21,GT-3777,248186.19227356193,-317189.2295311329,158.32332542401423,-144.89539385440375,0.921
2504.21,GT-3828,248314.90927602196,-317314.4493549694,154.24816170376405,-146.87683626527814,0.869
2537.26,GT-3869,253615.1201680421,-322245.8992322932,159.08073951059026,-145.90534645321296,0.939
2558.04,GT-3869,256926.94757951974,-325286.01413219236,158.89994766798736,-146.0921910223866,0.962
