event_type,time,label,sensor,local_track_id,source_map_track_id,source_d2_xy,source_gate_xy,source_d2_z,source_gate_z,source_xy_rejected,source_z_rejected,accepted_stage,assigned_global_track_id,created,revived
measurement,300.82,HEDEF_3,RADAR_A,RADAR_A-T2266,GT-0031,15.07030358060545,16.014326314940615,1.2989917150007635,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,301.23,HEDEF_1,RADAR_B,RADAR_B-T9554,GT-0052,2.4365250476962523,22.42005684091686,0.05458576054164472,16.265600372879273,False,False,source_map,GT-0052,False,False
measurement,302.11,HEDEF_1,RADAR_A,RADAR_A-T1642,GT-0052,0.30892364083842805,16.014326314940615,0.04179779711869116,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,302.93,HEDEF_4,RADAR_A,RADAR_A-T2333,,,,,,False,False,hungarian,GT-0017,False,False
measurement,302.95,HEDEF_3,RADAR_A,RADAR_A-T2266,GT-0031,2.5950937798758305,22.42005684091686,0.292811712918866,16.265600372879273,False,False,source_map,GT-0031,False,False
measurement,302.95,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,11.055318561081686,16.014326314940615,0.9027319730335885,11.618285980628052,False,False,source_map,GT-0004,False,False
measurement,303.04,HEDEF_4,RADAR_B,RADAR_B-T1307,GT-0017,10.425154546294323,16.014326314940615,1.1702976477259004,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,303.92,HEDEF_4,RADAR_C,RADAR_C-T8651,,,,,,False,False,hungarian,GT-0017,False,False
measurement,304.62,HEDEF_3,RADAR_B,RADAR_B-T7473,GT-0031,0.5796557380519968,16.014326314940615,0.5526991642541956,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,304.68,HEDEF_1,RADAR_A,RADAR_A-T1642,GT-0052,0.17910821173318275,16.014326314940615,0.7856066139596943,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,305.31,HEDEF_3,RADAR_A,RADAR_A-T2266,GT-0031,1.02118697742603,16.014326314940615,1.7306242308632434,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,305.64,HEDEF_4,RADAR_A,RADAR_A-T2333,GT-0017,1.9343263323695095,16.014326314940615,0.9414770941016011,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,305.64,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,0.39836232913452085,16.014326314940615,0.15714754023885757,11.618285980628052,False,False,source_map,GT-0004,False,False
measurement,305.91,HEDEF_2,RADAR_C,RADAR_C-T9659,,,,,,False,False,hungarian,GT-0061,False,False
measurement,305.91,HEDEF_5,RADAR_C,RADAR_C-T7087,GT-0004,9.211255698431225,16.014326314940615,0.7819490081683237,11.618285980628052,False,False,source_map,GT-0004,False,False
measurement,307.16,HEDEF_1,RADAR_B,RADAR_B-T9554,GT-0052,3.303668504637029,16.014326314940615,0.05358550060920459,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,307.16,HEDEF_5,RADAR_B,RADAR_B-T2923,GT-0004,6.0123712286004185,16.014326314940615,0.0444592173831372,11.618285980628052,False,False,source_map,GT-0004,False,False
measurement,307.26,HEDEF_1,RADAR_A,RADAR_A-T1642,GT-0052,26.877434880893734,22.42005684091686,1.068335965734012,16.265600372879273,True,False,create,GT-0071,True,False
measurement,308.01,STATIC_CLUTTER_terrain,RADAR_A,RADAR_A-SC49344,,,,,,False,False,create,GT-0072,True,False
track_deleted,308.05,STATIC_CLUTTER_terrain,,,,,,,,,,,GT-0072,,
measurement,308.05,HEDEF_3,RADAR_B,RADAR_B-T7473,GT-0031,0.0997219571468317,16.014326314940615,0.20061960334470397,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,308.18,HEDEF_4,RADAR_A,RADAR_A-T2333,GT-0017,12.428373140226658,16.014326314940615,0.17570330541921023,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,308.22,HEDEF_3,RADAR_A,RADAR_A-T2266,GT-0031,10.682674828193006,16.014326314940615,6.778947261380154,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,308.22,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,7.330998332325501,22.42005684091686,0.5171545291886764,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,309.74,HEDEF_1,RADAR_A,RADAR_A-T1642,GT-0052,6.0965200393328605,22.42005684091686,0.24105457283467452,16.265600372879273,False,False,source_map,GT-0052,False,False
measurement,309.74,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,1.2911253414581874,16.014326314940615,0.04141911321309478,11.618285980628052,False,False,source_map,GT-0004,False,False
measurement,309.95,HEDEF_4,RADAR_B,RADAR_B-T7607,,,,,,False,False,hungarian,GT-0017,False,False
measurement,310.5,HEDEF_2,RADAR_B,RADAR_B-T9040,,,,,,False,False,hungarian,GT-0061,False,False
measurement,311.83,HEDEF_3,RADAR_A,RADAR_A-T2266,GT-0031,0.036658260397251466,16.014326314940615,0.1778647288007487,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,312.02,HEDEF_4,RADAR_A,RADAR_A-T9079,,,,,,False,False,hungarian,GT-0017,False,False
measurement,312.86,HEDEF_2,RADAR_A,RADAR_A-T3994,,,,,,False,False,hungarian,GT-0061,False,False
measurement,312.86,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,0.46213340373696277,22.42005684091686,0.43989399469260987,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,312.94,HEDEF_1,RADAR_B,RADAR_B-T9554,GT-0052,1.2769868283431136,22.42005684091686,0.499864786970035,16.265600372879273,False,False,source_map,GT-0052,False,False
measurement,312.94,HEDEF_5,RADAR_B,RADAR_B-T2923,GT-0004,15.831091928451034,22.42005684091686,2.1530233874507396,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,314.22,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,3.91129411375422,16.014326314940615,7.64875199394951,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,314.25,HEDEF_1,RADAR_A,RADAR_A-T7808,,,,,,False,False,hungarian,GT-0052,False,False
measurement,315.34,HEDEF_2,RADAR_A,RADAR_A-T3994,GT-0061,1.3813369114421672,16.014326314940615,0.8767408667674441,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,315.34,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,0.8853125978962468,22.42005684091686,0.44535148930189966,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,315.7,HEDEF_2,RADAR_C,RADAR_C-T9659,GT-0061,9.969183846802352,16.014326314940615,0.8224723058314894,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,316.4,HEDEF_3,RADAR_A,RADAR_A-T2353,,,,,,False,False,hungarian,GT-0031,False,False
measurement,316.47,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,4.021528676245444,16.014326314940615,0.19331008882405107,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,316.62,HEDEF_3,RADAR_B,RADAR_B-T5582,,,,,,False,False,create,GT-0073,True,False
measurement,316.72,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,2.816820201835244,16.014326314940615,0.6055196727050809,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,316.72,HEDEF_5,RADAR_A,RADAR_A-T7602,GT-0004,6.75429439804091,22.42005684091686,0.09955465155404433,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,317.74,HEDEF_1,RADAR_B,RADAR_B-T9554,GT-0052,5.731150887071951,16.014326314940615,3.948429448919255,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,318.46,HEDEF_2,RADAR_A,RADAR_A-T3994,GT-0061,1.658152667314227,16.014326314940615,1.2114564314436151,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,318.5,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,1.376142301539625,16.014326314940615,0.031096402551163447,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,318.98,HEDEF_4,RADAR_B,RADAR_B-T5960,,,,,,False,False,hungarian,GT-0017,False,False
measurement,319.07,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,4.0121266336172425,16.014326314940615,0.04231304602726613,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,319.56,HEDEF_3,RADAR_A,RADAR_A-T2353,GT-0031,0.37349825149544774,16.014326314940615,0.2332546571357647,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,320.07,HEDEF_4,RADAR_C,RADAR_C-T3116,,,,,,False,False,hungarian,GT-0017,False,False
measurement,320.07,HEDEF_5,RADAR_C,RADAR_C-T7087,GT-0004,2.3319234708869443,22.42005684091686,0.005191105977805004,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,320.63,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,10.063984330942283,16.014326314940615,0.7306467181340593,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,320.77,HEDEF_3,RADAR_B,RADAR_B-T5582,GT-0031,0.6632248362728643,16.014326314940615,2.853465197780574,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,320.81,HEDEF_2,RADAR_A,RADAR_A-T3994,GT-0061,0.784286378378257,16.014326314940615,0.06896017030589746,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,321.31,HEDEF_2,RADAR_B,RADAR_B-T6602,,,,,,False,False,hungarian,GT-0061,False,False
measurement,321.54,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,3.533212832930128,16.014326314940615,0.0835987572198665,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,322.28,HEDEF_3,RADAR_A,RADAR_A-T2353,GT-0031,3.6510666796681965,16.014326314940615,1.7796027401530787,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,322.28,HEDEF_5,RADAR_A,RADAR_A-T4302,,,,,,False,False,hungarian,GT-0004,False,False
measurement,323.25,STATIC_CLUTTER_terrain,RADAR_B,RADAR_B-SC37349,,,,,,False,False,create,GT-0074,True,False
track_deleted,323.44,STATIC_CLUTTER_terrain,,,,,,,,,,,GT-0074,,
measurement,323.44,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,1.8603643775967411,16.014326314940615,1.1550225783354482,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,323.81,HEDEF_4,RADAR_B,RADAR_B-T5960,GT-0017,4.281639688157758,16.014326314940615,1.6240896088328898,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,323.84,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,0.5293435776017792,22.42005684091686,0.19477584775604487,16.265600372879273,False,False,source_map,GT-0052,False,False
measurement,323.97,HEDEF_1,RADAR_B,RADAR_B-T9554,GT-0052,6.112298509500666,16.014326314940615,2.1178523493712276,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,323.97,HEDEF_5,RADAR_B,RADAR_B-T7049,,,,,,False,False,hungarian,GT-0004,False,False
measurement,324.61,HEDEF_1,RADAR_C,RADAR_C-T3336,,,,,,False,False,hungarian,GT-0052,False,False
measurement,325.44,HEDEF_2,RADAR_A,RADAR_A-T2645,,,,,,False,False,hungarian,GT-0061,False,False
