time,global_track_id,x,y,vx,vy,pos_sigma_m,fused_tq,prob,n_linked_sources
56.56,GT-0114,5074.951553403313,12134.101109830879,-55.0387007163572,-88.37783184117991,92.65513058415563,11,0.855,1
57.05,GT-0004,5908.318778633503,9838.2138968524,97.03569083117216,-1.1686295164168143,41.07779483697287,14,0.985,4
57.05,GT-0097,5527.82699443146,11924.66904941764,-52.555856012848736,-85.61616841673754,41.16630483852606,14,0.923,2
57.49,GT-0004,5951.014482599219,9837.699699865176,97.03569083117216,-1.1686295164168143,41.32300748455961,14,0.955,4
57.49,GT-0097,5504.702417785806,11886.997935314275,-52.555856012848736,-85.61616841673754,41.45075315259015,14,0.895,2
58.01,GT-0004,6001.473041831428,9837.09201251664,97.03569083117216,-1.1686295164168143,41.65135332535417,14,0.926,4
58.01,GT-0097,5477.3733726591245,11842.477527737572,-52.555856012848736,-85.61616841673754,41.82953278692766,14,0.868,2
58.59,GT-0004,6057.753742513509,9836.414207397118,97.03569083117216,-1.1686295164168143,42.06959667043979,14,0.899,4
58.79,GT-0004,6077.160880679743,9836.180481493835,97.03569083117216,-1.1686295164168143,42.22705926087802,14,0.872,4
58.79,GT-0138,5467.407005528098,11776.53267801243,-36.66604256952646,-94.36577587979852,39.6712878903006,14,0.974,1
59.41,GT-0004,6137.9156553092225,9834.958009662043,97.52651779869173,-1.5111892760852328,42.34114237303793,14,0.982,4
59.41,GT-0138,5444.674059134992,11718.025896966956,-36.66604256952646,-94.36577587979852,39.674414224114905,14,0.945,1
59.57,GT-0004,6153.519898157014,9834.71621937787,97.52651779869173,-1.5111892760852328,42.423354225812815,14,0.953,4
59.57,GT-0138,5438.807492323867,11702.927372826187,-36.66604256952646,-94.36577587979852,39.676642999038336,14,0.917,1
59.95,GT-0004,6190.579974920517,9834.141967452957,97.52651779869173,-1.5111892760852328,42.63041553596601,14,0.924,4
59.95,GT-0138,5424.874396147447,11667.068377991864,-36.66604256952646,-94.36577587979852,39.68527322083474,14,0.889,1
60.12,GT-0004,6207.159482946294,9833.885065276023,97.52651779869173,-1.5111892760852328,42.728638850198024,14,0.897,4
60.12,GT-0076,5678.924199995854,10178.75378899385,97.33007735199448,-1.1885898144154652,95.45294100174326,11,0.911,2
60.12,GT-0138,5418.641168910628,11651.026196092298,-36.66604256952646,-94.36577587979852,39.69093270870451,14,0.862,1
60.69,GT-0004,6262.749598091548,9833.023687388655,97.52651779869173,-1.5111892760852328,43.08464139729034,14,0.87,4
60.69,GT-0076,5734.402344086491,10178.076292799633,97.33007735199448,-1.1885898144154652,95.96898340607991,11,0.883,2
60.93,GT-0004,6283.288110929425,9834.25288393097,97.40267984125597,-1.5491578653340952,43.11126110595546,14,0.982,4
60.93,GT-0076,5757.7615626509705,10177.791031244173,97.33007735199448,-1.1885898144154652,96.19911118678125,11,0.857,2
61.76,GT-0004,6364.132335197667,9832.967082902744,97.40267984125597,-1.5491578653340952,43.55372523697928,14,0.953,4
62.67,GT-0004,6452.76877385321,9831.55734924529,97.40267984125597,-1.5491578653340952,44.13308659227218,14,0.924,4
62.67,GT-0148,5773.115220747027,12031.322103596422,43.176930654846586,86.68152468687173,160.417326870666,9,0.868,1
63.32,GT-0004,6518.0478901914985,9835.102720887951,97.56803284703798,-1.6039135906493698,44.278013537072525,14,0.988,4
63.71,GT-0004,6556.099423001843,9834.477194587598,97.56803284703798,-1.6039135906493698,44.46482323925014,14,0.959,4
63.89,GT-0004,6573.66166891431,9834.188490141281,97.56803284703798,-1.6039135906493698,44.55613252073849,14,0.93,4
63.89,GT-0148,5825.774108568568,12137.106385583193,43.17666467306329,86.68085003396817,160.52460190358536,9,0.923,2
64.02,GT-0004,6586.345513184425,9833.979981374498,97.56803284703798,-1.6039135906493698,44.62416682965277,14,0.902,4
64.02,GT-0148,5831.387074976066,12148.374896087607,43.17666467306329,86.68085003396817,160.5327279418344,9,0.895,2
64.09,GT-0004,6593.175275483718,9833.867707423153,97.56803284703798,-1.6039135906493698,44.66154293671312,14,0.875,4
64.09,GT-0148,5834.409441503181,12154.442555589985,43.17666467306329,86.68085003396817,160.53747340198146,9,0.868,2
64.13,GT-0148,5836.109311924609,12157.924544237412,43.17680654328636,86.68012275159266,160.61832337492459,9,0.931,3
